Lac Quasion,5.26,75.03,82.26,75.46,81.19,49.78,14,7.58
Lac Voisin,5.53,73.96,87.72,76.02,72.3,38.7,7.77,3.1
Lac Voisin,5.53,115.13,124.74,135.55,131.75,110.87,67.02,45.22
Lac Voisin,5.53,111.19,118.5,138.76,140.26,157.54,84.86,59.6
Lac Voisin,5.53,72.02,87.16,71.43,81.48,27.32,1.61,0.71
Lac Voisin,5.53,156.6,152.38,154.72,141.59,88.5,17.86,5.85
Lac Chavigny L051 L074,6.33,202.65,291.15,496.46,672.18,211.89,16.41,8.46
Lac Chavigny L051 L074,6.33,251.3,324.6,528.22,693.9,284.92,76.78,52.42
Lac Chavigny L051 L074,6.33,195.61,272.09,468.79,633.63,236.23,49.09,32.18
Lac Chavigny L051 L074,6.33,161.25,247.33,423.32,566.34,135.26,12.22,7.94
Lac Chavigny L051 L074,6.33,354.33,440.04,693.29,821.68,267.94,38.42,19.79
Lac Lucie,6.44,84.21,96.77,97.24,90.98,61.99,17.23,10.35
Lac Lucie,6.44,72.33,73.33,74.8,73.25,39.21,8.11,3.18
Lac Lucie,6.44,63.96,66.15,74.43,73.67,40.14,7.85,3.98
Lac Lucie,6.44,67.75,66.14,63.61,61.41,28.57,8.25,4.68
Lac Lucie,6.44,68.69,71.54,52.36,46.17,16.11,1.63,-1.05
Lac Grasset L095 L016 L060.,6.52,386.27,530.89,860.4,1106.81,481.65,22.08,12.78
Lac Grasset L095 L016 L060.,6.52,176.6,266.37,497.12,714.34,212.56,9.19,5.1
Lac Grasset L095 L016 L060.,6.52,160.52,256.12,487.65,680.52,163.36,5.25,1.07
Lac Grasset L095 L016 L060.,6.52,215.49,325.32,580.19,797.13,250.06,14.47,10.95
Lac Grasset L095 L016 L060.,6.52,296.13,463.39,794.28,1065.55,437.13,0.28,-2.54
Lac Abitibi L025 L052,6.56,510.25,693.31,1103.03,1307.58,448.9,45.25,34.37
Lac Abitibi L025 L052,6.56,441.5,627.22,1039.26,1233.56,385.52,20.18,15.17
Lac Abitibi L025 L052,6.56,402.15,557.31,941.26,1106.89,298.14,9.9,3.67
Lac Carheil,6.68,166.44,209.71,297.59,392.01,145.88,19.29,10.83
Lac Carheil,6.68,128.67,166.42,266.27,349.93,102.42,15.36,6.32
Lac Carheil,6.68,111.28,152.07,255.81,334.5,88.87,8.21,2.68
Lac Tario,7.14,117.1,128.44,115.38,101.58,89.34,25.13,11.25
Lac Tario,7.14,71.2,85.85,88.53,87.84,74.72,30.16,18.59
Lac Tario,7.14,61.87,78.5,83.35,83.48,63.74,23.94,15.28
Lac Joann?s,7.59,77.53,90.14,84.85,83.41,53.93,17.41,10.6
Lac Joann?s,7.59,41.92,60.92,54.9,56.73,25.77,2.67,0.3
Lac Joann?s,7.59,103.39,113.78,116.75,115.95,98.34,51.97,36.02
Lac Joann?s,7.59,59.3,69.54,75.14,75.71,54.83,15.17,7.57
Lac Joann?s,7.59,44.95,58,48.83,49.46,19.01,1.12,-0.16
Lac Joann?s,7.59,152.27,153.77,135.1,112.31,95.41,22.32,7.63
Lac Joann?s,7.59,72.49,88.55,87.03,86.67,57,17.98,11.23
Lac Sainte-H?l?ne,7.75,49.84,75,117.09,158.92,58.62,12.15,6.16
Lac Sainte-H?l?ne,7.75,60.04,81.44,120.51,160.97,57.7,12.03,6.27
Lac Sainte-H?l?ne,7.75,94.95,126.3,188.47,274.96,80.7,5.12,0.94
Lac Tranquille,8.64,54.52,64.87,50.01,41.6,26.53,9.33,6.56
Lac Bambi,9.33,121.39,132.92,117.43,107.05,102.68,26.94,12.01
Lac Bambi,9.33,69.92,85.4,83,82.78,77.81,27.81,16.2
Lac Bambi,9.33,60,75.22,81.14,84.55,67.9,19.84,10.76
Lac des rats,10.93,140.21,139.41,135.53,117.74,112.63,31.19,15.23
Lac des rats,10.93,50.17,60.41,61.89,60.28,71.23,30.2,18.61
Lac des rats,10.93,36.03,46.13,58.63,61.17,60.93,15.46,8.34
Lac des rats,10.93,59.37,69.64,63.3,53.65,50.54,15.22,9.46
Lac des rats,10.93,49.01,66.21,52.36,50.32,32.31,4.8,0.74
Lac Macamic,20.04,462.5,649.7,1047.35,1319.87,619.23,11.62,4.98
Lac Macamic,20.04,375.3,547.11,929.91,1212.51,558.78,40.59,30.88
Lac Macamic,20.04,372.28,537.25,914.2,1191.45,525.15,17.65,10.71
Lac Macamic,20.04,286.04,435.54,746.36,1017.13,363.21,0.93,-2.19
Lac Macamic,20.04,488.59,649.48,1030.66,1266.35,505.05,18.14,6.48
