Name,H,S,V,blank,CDOM,comparison,Date,blank,b1/v,b5/v,b1/s,b5/s,b5/(b2*s),B5/(B1*s),b5/(b2*v),b5/(b1*v),b5/b2,b5/b1,b5/(b2*b1),(b5*s)/(b2*v),(b5*s)/(b1*v),(b5*v)/(b2*s),(b5*v)/(b1*s),B5/(V*S),B1/(V*S),H,s,v,s*v,s/v,B1,B2,B3,b4,b5,B6,B7,b3/b1,b2/b1,b3/b2,b4/b1,b4/b2,b4/b3,,B1.Over.B1,B2.Over.B1,B3.Over.B1,B4.Over.B1,B5.Over.B1,B6.Over.B1,B7.Over.B1,B1MinusB1,B2MinusB1,B3MinusB2,B4MinusB3,B5MinusB4,B6MinusB5,B7MinusB6
Lac Monsabrais L003,156.407767,9.617180205,0.84,,2.76,0.84,12.p19r26d283y2013,,137.9,131.18,12.04,11.46,0.09708,0.099,1.111,1.133,0.93,0.95,0.0081,10.69,10.89,0.082,0.083,13.64,14.34,156.41,9.62,0.84,8.08,11.45,115.83,118.03,130.05,117.76,110.19,72.49,49.62,1.12,1.02,1.1,1.02,1,0.91,,1,1.02,1.12,1.02,0.95,0.63,0.43,0,2.19,12.03,-12.29,-7.57,-37.71,-22.87
Lac Monsabrais L003,137.9411669,7.465083745,2.061504,,2.76,2.061504,2.p19r26d267y2013,,91.71,128.61,25.32,35.52,0.18179,0.188,0.658,0.68,1.36,1.4,0.0072,4.91,5.08,0.375,0.387,17.23,12.28,137.94,7.47,2.06,15.39,3.62,189.05,195.36,206.15,190.76,265.12,160.27,119.09,1.09,1.03,1.06,1.01,0.98,0.93,,1,1.03,1.09,1.01,1.4,0.85,0.63,0,6.31,10.79,-15.39,74.36,-104.86,-41.18
Lac Monsabrais L003,24.1464663,9.46781663,1.609558,,2.76,1.609558,4.p18r26d295y2014,,77.45,26.98,13.17,4.59,0.03148,0.037,0.185,0.216,0.3,0.35,0.0024,1.75,2.05,0.051,0.059,2.85,8.18,24.15,9.47,1.61,15.24,5.88,124.66,145.72,151.85,160.96,43.43,9.04,8.07,1.22,1.17,1.04,1.29,1.1,1.06,,1,1.17,1.22,1.29,0.35,0.07,0.06,0,21.05,6.13,9.11,-117.52,-34.4,-0.96
Lac Monsabrais L003,156.407767,9.617180205,0.84,,2.76,0.84,5.p19r26d270y2014,,166.35,106.86,14.53,9.33,0.07045,0.067,0.807,0.765,0.68,0.64,0.0048,7.76,7.35,0.059,0.056,11.11,17.3,156.41,9.62,0.84,8.08,11.45,139.73,132.48,138.74,118.6,89.76,23.01,10.44,0.99,0.95,1.05,0.85,0.9,0.85,,1,0.95,0.99,0.85,0.64,0.16,0.07,0,-7.26,6.27,-20.14,-28.84,-66.75,-12.57
Lac Monsabrais L003,156.407767,9.617180205,0.84,,2.76,0.84,9.p18r27d260y2013,,91.88,50.03,8.02,4.37,0.05158,0.057,0.591,0.648,0.5,0.54,0.0064,5.68,6.23,0.043,0.048,5.2,9.55,156.41,9.62,0.84,8.08,11.45,77.18,84.72,79.04,61.4,42.03,14.81,6.86,1.02,1.1,0.93,0.8,0.72,0.78,,1,1.1,1.02,0.8,0.54,0.19,0.09,0,7.54,-5.68,-17.64,-19.37,-27.21,-7.96
Lac Francis,54.88237276,35.29750316,1.99292,,2.99,1.99292,2.p19r26d267y2013,,57.56,462.3,3.25,26.1,0.20242,0.228,3.585,4.03,7.15,8.03,0.0623,126.55,142.25,0.403,0.453,13.1,1.63,54.88,35.3,1.99,70.35,17.71,114.72,128.95,193.29,199.29,921.33,482.41,254.61,1.68,1.12,1.5,1.74,1.55,1.03,,1,1.12,1.68,1.74,8.03,4.21,2.22,0,14.23,64.35,6,722.04,-438.92,-227.8
Lac Ouest Mistaouac L024,233.1428571,2.725856698,0.503529412,,2.99,0.503529412,1.p18r26d260y2013,,99.99,60.57,18.47,11.19,0.2278,0.222,1.233,1.203,0.62,0.61,0.0123,3.36,3.28,0.115,0.112,22.22,36.68,233.14,2.73,0.5,1.37,5.41,50.35,49.12,48.96,36.15,30.5,9.48,2.68,0.97,0.98,1,0.72,0.74,0.74,,1,0.98,0.97,0.72,0.61,0.19,0.05,0,-1.23,-0.15,-12.82,-5.65,-21.02,-6.8
Lac Ouest Mistaouac L024,233.1428571,2.725856698,0.503529412,,2.99,0.503529412,11.p19r25d270y2014,,254.46,202.23,47,37.36,0.29676,0.292,1.606,1.578,0.81,0.79,0.0063,4.38,4.3,0.149,0.147,74.19,93.35,233.14,2.73,0.5,1.37,5.41,128.13,125.88,126.54,110.43,101.83,26.05,13.07,0.99,0.98,1.01,0.86,0.88,0.87,,1,0.98,0.99,0.86,0.79,0.2,0.1,0,-2.25,0.65,-16.11,-8.6,-75.78,-12.97
Lac Ouest Mistaouac L024,233.1428571,2.725856698,0.503529412,,2.99,0.503529412,12.p19r26d283y2013,,212.59,363.29,39.27,67.11,0.52902,0.627,2.864,3.394,1.44,1.71,0.0135,7.81,9.25,0.266,0.316,133.28,77.99,233.14,2.73,0.5,1.37,5.41,107.05,126.85,148.24,142.55,182.93,114.54,89.33,1.38,1.19,1.17,1.33,1.12,0.96,,1,1.19,1.38,1.33,1.71,1.07,0.83,0,19.81,21.38,-5.69,40.38,-68.39,-25.21
Lac Ouest Mistaouac L024,88.16464151,16.1391532,0.9851818,,2.99,0.9851818,2.p19r26d267y2013,,71.05,125.19,4.34,7.64,0.0925,0.109,1.515,1.788,1.49,1.76,0.0213,24.46,28.86,0.091,0.108,7.76,4.4,88.16,16.14,0.99,15.9,16.38,70,82.62,98.52,91.05,123.34,71.29,52.06,1.41,1.18,1.19,1.3,1.1,0.92,,1,1.18,1.41,1.3,1.76,1.02,0.74,0,12.62,15.9,-7.46,32.28,-52.05,-19.23
Lac Ouest Mistaouac L024,126.2441009,11.03917032,1.052455,,2.99,1.052455,3.p19r25d267y2013,,85.46,120.01,8.15,11.44,0.12065,0.127,1.265,1.334,1.33,1.4,0.0148,13.97,14.73,0.127,0.134,10.87,7.74,126.24,11.04,1.05,11.62,10.49,89.95,94.84,105.25,93.63,126.31,72.41,53.27,1.17,1.05,1.11,1.04,0.99,0.89,,1,1.05,1.17,1.04,1.4,0.81,0.59,0,4.89,10.41,-11.62,32.68,-53.9,-19.14
Lac Ouest Mistaouac L024,198.9328473,18.21989898,0.5423636,,2.99,0.5423636,4.p18r26d295y2014,,82.67,46.16,2.46,1.37,0.02534,0.031,0.851,1.03,0.46,0.56,0.0103,15.51,18.76,0.014,0.017,2.53,4.54,198.93,18.22,0.54,9.88,33.59,44.84,54.24,51.12,44.35,25.04,6.75,2.16,1.14,1.21,0.94,0.99,0.82,0.87,,1,1.21,1.14,0.99,0.56,0.15,0.05,0,9.4,-3.12,-6.76,-19.32,-18.29,-4.58
Lac Ouest Mistaouac L024,233.1428571,2.725856698,0.503529412,,2.99,0.503529412,5.p19r26d270y2014,,191.14,189.97,35.31,35.09,0.34048,0.365,1.843,1.974,0.93,0.99,0.0096,5.02,5.38,0.171,0.184,69.69,70.12,233.14,2.73,0.5,1.37,5.41,96.25,103.06,113.19,101.41,95.65,25.14,12.54,1.18,1.07,1.1,1.05,0.98,0.9,,1,1.07,1.18,1.05,0.99,0.26,0.13,0,6.82,10.13,-11.78,-5.75,-70.52,-12.6
Lac Ouest Mistaouac L024,233.1428571,2.725856698,0.503529412,,2.99,0.503529412,6.p19r25d235y2013,,127.61,122.99,23.57,22.72,0.31888,0.354,1.726,1.914,0.87,0.96,0.0135,4.71,5.22,0.161,0.178,45.12,46.81,233.14,2.73,0.5,1.37,5.41,64.25,71.25,83.37,71.65,61.93,18.78,10.51,1.3,1.11,1.17,1.12,1.01,0.86,,1,1.11,1.3,1.12,0.96,0.29,0.16,0,6.99,12.13,-11.73,-9.72,-43.15,-8.27
Lac Lo??s L073,16.36741288,48.46756152,3.505882353,,3.11,3.505882353,1.p18r26d260y2013,,51.53,27.01,3.73,1.95,0.00861,0.011,0.119,0.15,0.42,0.52,0.0023,5.77,7.25,0.03,0.038,0.56,1.06,16.37,48.47,3.51,169.92,13.82,180.65,227.03,350.58,400.26,94.7,18.65,13.62,1.94,1.26,1.54,2.22,1.76,1.14,,1,1.26,1.94,2.22,0.52,0.1,0.08,0,46.37,123.56,49.67,-305.56,-76.05,-5.03
Lac Lo??s L073,16.36741288,48.46756152,3.505882353,,3.11,3.505882353,12.p19r26d283y2013,,49.42,39.46,3.58,2.85,0.01318,0.016,0.182,0.228,0.64,0.8,0.0037,8.83,11.04,0.046,0.058,0.81,1.02,16.37,48.47,3.51,169.92,13.82,173.27,216.64,331.78,381.89,138.34,69.37,50.81,1.91,1.25,1.53,2.2,1.76,1.15,,1,1.25,1.91,2.2,0.8,0.4,0.29,0,43.36,115.14,50.11,-243.55,-68.96,-18.56
Lac Lo??s L073,41.78517965,58.1889241,3.712655,,3.11,3.712655,2.p19r26d267y2013,,25.88,22.82,1.65,1.46,0.00938,0.015,0.147,0.238,0.55,0.88,0.0057,8.56,13.82,0.035,0.056,0.39,0.44,41.79,58.19,3.71,216.04,15.67,96.07,155.23,305.68,371.27,84.73,16.55,8.58,3.18,1.62,1.97,3.86,2.39,1.21,,1,1.62,3.18,3.86,0.88,0.17,0.09,0,59.16,150.45,65.58,-286.53,-68.19,-7.96
Lac Lo??s L073,39.80429476,48.89626587,7.41646,,3.11,7.41646,4.p18r26d295y2014,,35.53,21.58,5.39,3.27,0.00863,0.012,0.057,0.082,0.42,0.61,0.0016,2.78,4,0.064,0.092,0.44,0.73,39.8,48.9,7.42,362.64,6.59,263.49,379.01,619.58,741.65,160.02,12.06,8.85,2.35,1.44,1.63,2.81,1.96,1.2,,1,1.44,2.35,2.81,0.61,0.05,0.03,0,115.52,240.58,122.06,-581.63,-147.96,-3.21
Lac Lo??s L073,16.36741288,48.46756152,3.505882353,,3.11,3.505882353,5.p19r26d270y2014,,122.93,81.26,8.89,5.88,0.01059,0.014,0.146,0.189,0.51,0.66,0.0012,7.1,9.14,0.037,0.048,1.68,2.54,16.37,48.47,3.51,169.92,13.82,430.97,554.93,844.15,925.78,284.89,37.68,18.78,1.96,1.29,1.52,2.15,1.67,1.1,,1,1.29,1.96,2.15,0.66,0.09,0.04,0,123.96,289.22,81.63,-640.89,-247.2,-18.9
Lac Mances L067,22.7187672,41.10859729,1.733333333,,3.22,1.733333333,1.p18r26d260y2013,,58.9,47.55,2.48,2,0.01554,0.02,0.368,0.466,0.64,0.81,0.0063,15.15,19.14,0.027,0.034,1.16,1.43,22.72,41.11,1.73,71.25,23.72,102.1,129.04,173.32,180.12,82.41,14.54,7.29,1.7,1.26,1.34,1.76,1.4,1.04,,1,1.26,1.7,1.76,0.81,0.14,0.07,0,26.95,44.28,6.8,-97.71,-67.88,-7.25
Lac Mances L067,22.7187672,41.10859729,1.733333333,,3.22,1.733333333,12.p19r26d283y2013,,89.96,79.75,3.79,3.36,0.01986,0.022,0.471,0.511,0.82,0.89,0.0052,19.36,21.03,0.034,0.037,1.94,2.19,22.72,41.11,1.73,71.25,23.72,155.93,169.32,211.32,222.56,138.24,70.43,48.43,1.36,1.09,1.25,1.43,1.31,1.05,,1,1.09,1.36,1.43,0.89,0.45,0.31,0,13.39,41.99,11.25,-84.32,-67.81,-22
Lac Mances L067,57.8584166,13.30142482,2.124825,,3.22,2.124825,2.p19r26d267y2013,,80.43,127.31,12.85,20.34,0.11039,0.119,0.691,0.745,1.47,1.58,0.0086,9.19,9.91,0.235,0.253,9.57,6.05,57.86,13.3,2.12,28.26,6.26,170.89,184.22,211.47,212.48,270.51,162.6,120.35,1.24,1.08,1.15,1.24,1.15,1,,1,1.08,1.24,1.24,1.58,0.95,0.7,0,13.32,27.25,1.01,58.03,-107.91,-42.25
Lac Mances L067,3.784858451,8.254810454,1.145526,,3.22,1.145526,4.p18r26d295y2014,,69.32,31.88,9.62,4.42,0.04209,0.056,0.303,0.401,0.35,0.46,0.0044,2.5,3.31,0.048,0.064,3.86,8.4,3.78,8.25,1.15,9.46,7.21,79.4,105.1,105.69,114.55,36.52,6.97,3.08,1.33,1.32,1.01,1.44,1.09,1.08,,1,1.32,1.33,1.44,0.46,0.09,0.04,0,25.69,0.6,8.86,-78.04,-29.54,-3.89
Lac Mances L067,22.7187672,41.10859729,1.733333333,,3.22,1.733333333,5.p19r26d270y2014,,95.15,62.37,4.01,2.63,0.01588,0.016,0.377,0.378,0.65,0.66,0.004,15.48,15.55,0.028,0.028,1.52,2.31,22.72,41.11,1.73,71.25,23.72,164.93,165.62,189.51,178.46,108.11,24.12,10.72,1.15,1,1.14,1.08,1.08,0.94,,1,1,1.15,1.08,0.66,0.15,0.06,0,0.69,23.89,-11.04,-70.35,-83.99,-13.4
Lac Duparquet L029,17.34816082,53.63000344,3.419215686,,3.41,3.419215686,1.p18r26d260y2013,,46.36,23.63,2.96,1.51,0.00712,0.01,0.112,0.149,0.38,0.51,0.0024,5.99,7.99,0.024,0.032,0.44,0.86,17.35,53.63,3.42,183.37,15.68,158.53,211.57,341.93,403.83,80.8,4.97,1.07,2.16,1.33,1.62,2.55,1.91,1.18,,1,1.33,2.16,2.55,0.51,0.03,0.01,0,53.03,130.37,61.9,-323.03,-75.83,-3.9
Lac Duparquet L029,43.55576875,58.38435463,3.64913,,3.41,3.64913,2.p19r26d267y2013,,25.81,38.87,1.61,2.43,0.016,0.026,0.256,0.413,0.93,1.51,0.0099,14.95,24.1,0.058,0.094,0.67,0.44,43.56,58.38,3.65,213.05,16,94.19,151.86,306.52,364.91,141.85,48.36,32.85,3.25,1.61,2.02,3.87,2.4,1.19,,1,1.61,3.25,3.87,1.51,0.51,0.35,0,57.67,154.66,58.39,-223.06,-93.5,-15.5
Lac Duparquet L029,31.97753602,48.40363794,4.224261,,3.41,4.224261,4.p18r26d295y2014,,35.41,17.71,3.09,1.55,0.00709,0.01,0.081,0.118,0.34,0.5,0.0023,3.93,5.73,0.03,0.044,0.37,0.73,31.98,48.4,4.22,204.47,11.46,149.58,217.96,326.93,422.43,74.83,1.25,-0.07,2.19,1.46,1.5,2.82,1.94,1.29,,1,1.46,2.19,2.82,0.5,0.01,NA,0,68.37,108.97,95.5,-347.6,-73.57,-1.32
Lac Duparquet L029,17.34816082,53.63000344,3.419215686,,3.41,3.419215686,5.p19r26d270y2014,,58.86,33.05,3.75,2.11,0.00891,0.01,0.14,0.164,0.48,0.56,0.0024,7.49,8.81,0.03,0.036,0.62,1.1,17.35,53.63,3.42,183.37,15.68,201.24,236.51,367.3,424,113.01,12.41,4.32,1.83,1.18,1.55,2.11,1.79,1.15,,1,1.18,1.83,2.11,0.56,0.06,0.02,0,35.27,130.78,56.7,-310.99,-100.6,-8.09
Lac Drolet L006,201.7475728,20.87132725,1.161176471,,3.8,1.161176471,1.p18r26d260y2013,,100.01,57,5.56,3.17,0.02954,0.027,0.531,0.491,0.62,0.57,0.0053,11.08,10.24,0.034,0.032,2.73,4.79,201.75,20.87,1.16,24.24,17.97,116.13,107.35,91.87,69.67,66.19,33.98,19.72,0.79,0.92,0.86,0.6,0.65,0.76,,1,0.92,0.79,0.6,0.57,0.29,0.17,0,-8.79,-15.48,-22.2,-3.48,-32.21,-14.26
Lac Drolet L006,201.7475728,20.87132725,1.161176471,,3.8,1.161176471,10.p18r27d295y2014,,87.33,35.52,4.86,1.98,0.01811,0.019,0.326,0.35,0.38,0.41,0.0037,6.79,7.31,0.021,0.023,1.7,4.18,201.75,20.87,1.16,24.24,17.97,101.4,109.11,98.22,84.01,41.24,22.93,16.39,0.97,1.08,0.9,0.83,0.77,0.86,,1,1.08,0.97,0.83,0.41,0.23,0.16,0,7.71,-10.88,-14.21,-42.77,-18.31,-6.54
Lac Drolet L006,201.7475728,20.87132725,1.161176471,,3.8,1.161176471,12.p19r26d283y2013,,146.76,112.79,8.16,6.28,0.03777,0.037,0.679,0.662,0.79,0.77,0.0046,14.17,13.81,0.044,0.043,5.4,7.03,201.75,20.87,1.16,24.24,17.97,170.41,166.16,162.83,145.06,130.97,94.22,66.56,0.96,0.98,0.98,0.85,0.87,0.89,,1,0.98,0.96,0.85,0.77,0.55,0.39,0,-4.25,-3.33,-17.77,-14.09,-36.75,-27.66
Lac Drolet L006,119.6755956,11.88123194,1.807321,,3.8,1.807321,2.p19r26d267y2013,,91.07,120.85,13.85,18.38,0.11543,0.112,0.759,0.734,1.37,1.33,0.0083,9.02,8.72,0.209,0.202,10.17,7.67,119.68,11.88,1.81,21.47,6.57,164.6,159.26,180.73,159.38,218.41,152.28,112.12,1.1,0.97,1.13,0.97,1,0.88,,1,0.97,1.1,0.97,1.33,0.93,0.68,0,-5.34,21.47,-21.36,59.04,-66.13,-40.16
Lac Drolet L006,209.4519647,30.15666543,1.247946,,3.8,1.247946,4.p18r26d295y2014,,101.9,33.59,4.22,1.39,0.01114,0.011,0.269,0.264,0.34,0.33,0.0026,8.12,7.97,0.014,0.014,1.11,3.38,209.45,30.16,1.25,37.63,24.17,127.16,124.79,106.32,87.16,41.92,24.02,16.2,0.84,0.98,0.85,0.69,0.7,0.82,,1,0.98,0.84,0.69,0.33,0.19,0.13,0,-2.37,-18.47,-19.16,-45.24,-17.9,-7.82
Lac Drolet L006,201.7475728,20.87132725,1.161176471,,3.8,1.161176471,5.p19r26d270y2014,,159.23,97.61,8.86,5.43,0.03174,0.029,0.57,0.528,0.66,0.61,0.0036,11.91,11.02,0.037,0.034,4.68,7.63,201.75,20.87,1.16,24.24,17.97,184.89,171.13,172.48,131.71,113.35,39.73,22.06,0.93,0.93,1.01,0.71,0.77,0.76,,1,0.93,0.93,0.71,0.61,0.21,0.12,0,-13.77,1.36,-40.78,-18.36,-73.62,-17.67
Lac Drolet L006,201.7475728,20.87132725,1.161176471,,3.8,1.161176471,9.p18r27d260y2013,,82.84,56.13,4.61,3.12,0.03307,0.032,0.594,0.584,0.69,0.68,0.0072,12.41,12.18,0.038,0.038,2.69,3.97,201.75,20.87,1.16,24.24,17.97,96.2,94.42,85.55,66.34,65.18,33.11,19.35,0.89,0.98,0.91,0.69,0.7,0.78,,1,0.98,0.89,0.69,0.68,0.34,0.2,0,-1.78,-8.87,-19.21,-1.16,-32.07,-13.76
Lac DAlembert L011,10.61007958,31.67180062,1.400392157,,3.91,1.400392157,1.p18r26d260y2013,,68.34,40.66,3.02,1.8,0.01736,0.019,0.393,0.425,0.55,0.59,0.0057,12.44,13.46,0.024,0.026,1.28,2.16,10.61,31.67,1.4,44.35,22.62,95.71,103.54,140.03,149.69,56.94,13.01,6.43,1.46,1.08,1.35,1.56,1.45,1.07,,1,1.08,1.46,1.56,0.59,0.14,0.07,0,7.84,36.48,9.66,-92.75,-43.93,-6.58
Lac DAlembert L011,10.61007958,31.67180062,1.400392157,,3.91,1.400392157,10.p18r27d295y2014,,49.14,27.75,2.17,1.23,0.01261,0.018,0.285,0.403,0.4,0.56,0.0058,9.03,12.77,0.018,0.025,0.88,1.55,10.61,31.67,1.4,44.35,22.62,68.82,97.33,134.19,153.17,38.87,7.61,6,1.95,1.41,1.38,2.23,1.57,1.14,,1,1.41,1.95,2.23,0.56,0.11,0.09,0,28.51,36.86,18.98,-114.3,-31.26,-1.61
Lac DAlembert L011,10.61007958,31.67180062,1.400392157,,3.91,1.400392157,12.p19r26d283y2013,,93.12,82.39,4.12,3.64,0.02459,0.028,0.556,0.632,0.78,0.88,0.006,17.61,20.01,0.034,0.039,2.6,2.94,10.61,31.67,1.4,44.35,22.62,130.41,148.14,204.44,218.42,115.38,71.5,50.26,1.57,1.14,1.38,1.67,1.47,1.07,,1,1.14,1.57,1.67,0.88,0.55,0.39,0,17.73,56.29,13.98,-103.04,-43.88,-21.24
Lac DAlembert L011,50.80984915,32.72292994,2.355,,3.91,2.355,2.p19r26d267y2013,,59.92,87.73,4.31,6.31,0.03985,0.045,0.554,0.622,1.3,1.46,0.0092,18.12,20.34,0.094,0.105,2.68,1.83,50.81,32.72,2.36,77.06,13.9,141.11,158.44,223.7,235.5,206.6,116.85,85.51,1.59,1.12,1.41,1.67,1.49,1.05,,1,1.12,1.59,1.67,1.46,0.83,0.61,0,17.33,65.26,11.8,-28.9,-89.75,-31.34
Lac DAlembert L011,38.24528743,36.25876145,1.501607,,3.91,1.501607,4.p18r26d295y2014,,47.61,20.82,1.97,0.86,0.00901,0.012,0.218,0.291,0.33,0.44,0.0046,7.89,10.56,0.014,0.018,0.57,1.31,38.25,36.26,1.5,54.45,24.15,71.49,95.71,130.42,150.16,31.27,5.64,5.39,1.82,1.34,1.36,2.1,1.57,1.15,,1,1.34,1.82,2.1,0.44,0.08,0.08,0,24.22,34.71,19.74,-118.89,-25.63,-0.25
Lac DAlembert L011,10.61007958,31.67180062,1.400392157,,3.91,1.400392157,5.p19r26d270y2014,,151.68,91.17,6.71,4.03,0.01946,0.019,0.44,0.429,0.62,0.6,0.0029,13.94,13.59,0.027,0.027,2.88,4.79,10.61,31.67,1.4,44.35,22.62,212.41,207.17,232.47,205.3,127.68,31.71,17.19,1.09,0.98,1.12,0.97,0.99,0.88,,1,0.98,1.09,0.97,0.6,0.15,0.08,0,-5.24,25.3,-27.17,-77.63,-95.96,-14.53
Lac DAlembert L011,10.61007958,31.67180062,1.400392157,,3.91,1.400392157,9.p18r27d260y2013,,67.33,44.19,2.98,1.95,0.01864,0.021,0.422,0.469,0.59,0.66,0.0063,13.35,14.84,0.026,0.029,1.4,2.13,10.61,31.67,1.4,44.35,22.62,94.29,104.82,142.61,152.71,61.88,13.63,7.34,1.51,1.11,1.36,1.62,1.46,1.07,,1,1.11,1.51,1.62,0.66,0.14,0.08,0,10.53,37.79,10.1,-90.82,-48.26,-6.29
Lac Dances,143.1048387,28.57142857,0.680784314,,4.03,0.680784314,1.p18r26d260y2013,,82.44,54.22,1.96,1.29,0.01898,0.023,0.796,0.966,0.54,0.66,0.0097,22.76,27.6,0.013,0.016,1.9,2.89,143.1,28.57,0.68,19.45,41.97,56.12,68.08,48.62,31.77,36.91,13.5,6.27,0.87,1.21,0.71,0.57,0.47,0.65,,1,1.21,0.87,0.57,0.66,0.24,0.11,0,11.96,-19.46,-16.85,5.15,-23.42,-7.23
Lac Dances,143.1048387,28.57142857,0.680784314,,4.03,0.680784314,12.p19r26d283y2013,,160.22,170.02,3.82,4.05,0.03585,0.037,1.504,1.559,1.02,1.06,0.0094,42.99,44.53,0.024,0.025,5.95,5.61,143.1,28.57,0.68,19.45,41.97,109.08,113.01,111.47,101.69,115.75,75.43,53.32,1.02,1.04,0.99,0.93,0.9,0.91,,1,1.04,1.02,0.93,1.06,0.69,0.49,0,3.93,-1.54,-9.78,14.06,-40.32,-22.1
Lac Dances,147.8551362,13.50808007,0.6933043,,4.03,0.6933043,2.p19r26d267y2013,,82.7,102.97,4.24,5.29,0.08218,0.092,1.601,1.796,1.11,1.25,0.0194,21.63,24.26,0.057,0.064,7.62,6.12,147.86,13.51,0.69,9.37,19.48,57.34,64.31,69.33,59.97,71.39,31.38,18.5,1.21,1.12,1.08,1.05,0.93,0.86,,1,1.12,1.21,1.05,1.25,0.55,0.32,0,6.97,5.02,-9.37,11.43,-40.01,-12.89
Lac Dances,238.2645585,32.25989529,0.7641739,,4.03,0.7641739,4.p18r26d295y2014,,78.58,31.01,1.86,0.73,0.00961,0.012,0.406,0.516,0.31,0.39,0.0052,13.09,16.66,0.007,0.009,0.96,2.44,238.26,32.26,0.76,24.65,42.22,60.05,76.42,52.48,51.77,23.7,10.26,7.21,0.87,1.27,0.69,0.86,0.68,0.99,,1,1.27,0.87,0.86,0.39,0.17,0.12,0,16.37,-23.94,-0.71,-28.07,-13.43,-3.05
Lac Dances,143.1048387,28.57142857,0.680784314,,4.03,0.680784314,5.p19r26d270y2014,,199.97,139.69,4.76,3.33,0.02528,0.024,1.061,1.026,0.72,0.7,0.0053,30.32,29.32,0.017,0.017,4.89,7,143.1,28.57,0.68,19.45,41.97,136.14,131.64,120.44,94.23,95.1,26.44,13.44,0.88,0.97,0.91,0.69,0.72,0.78,,1,0.97,0.88,0.69,0.7,0.19,0.1,0,-4.5,-11.2,-26.22,0.87,-68.65,-13
Lac Ducharme,164.8387097,34.17023882,0.640392157,,4.03,0.640392157,1.p18r26d260y2013,,91.37,115.3,1.71,2.16,0.03374,0.037,1.8,1.971,1.15,1.26,0.0197,61.51,67.33,0.022,0.024,3.37,2.67,164.84,34.17,0.64,21.88,53.36,58.51,64.05,42.16,22.36,73.84,37.56,21.45,0.72,1.09,0.66,0.38,0.35,0.53,,1,1.09,0.72,0.38,1.26,0.64,0.37,0,5.54,-21.89,-19.8,51.48,-36.28,-16.11
Lac Ducharme,164.8387097,34.17023882,0.640392157,,4.03,0.640392157,12.p19r26d283y2013,,190.61,277.77,3.57,5.21,0.04107,0.043,2.191,2.276,1.4,1.46,0.0115,74.88,77.76,0.026,0.027,8.13,5.58,164.84,34.17,0.64,21.88,53.36,122.06,126.76,122.62,107.13,177.88,112.73,74.66,1,1.04,0.97,0.88,0.85,0.87,,1,1.04,1,0.88,1.46,0.92,0.61,0,4.69,-4.14,-15.5,70.76,-65.15,-38.07
Lac Ducharme,186.5881128,27.11977972,0.5354955,,4.03,0.5354955,2.p19r26d267y2013,,88.19,165.55,1.74,3.27,0.06104,0.069,3.091,3.505,1.66,1.88,0.0351,83.84,95.07,0.033,0.037,6.1,3.25,186.59,27.12,0.54,14.52,50.64,47.23,53.55,51.95,39.03,88.65,38.85,23.46,1.1,1.13,0.97,0.83,0.73,0.75,,1,1.13,1.1,0.83,1.88,0.82,0.5,0,6.32,-1.59,-12.93,49.62,-49.8,-15.39
Lac Ducharme,219.097058,57.53869532,0.8323423,,4.03,0.8323423,4.p18r26d295y2014,,89.76,81.91,1.3,1.18,0.01424,0.016,0.984,1.096,0.82,0.91,0.011,56.63,63.09,0.012,0.013,1.42,1.56,219.1,57.54,0.83,47.89,69.13,74.71,83.23,52.03,35.34,68.18,41.99,25.29,0.7,1.11,0.63,0.47,0.42,0.68,,1,1.11,0.7,0.47,0.91,0.56,0.34,0,8.52,-31.21,-16.68,32.84,-26.19,-16.7
Lac Ducharme,164.8387097,34.17023882,0.640392157,,4.03,0.640392157,5.p19r26d270y2014,,210.7,220.68,3.95,4.14,0.0316,0.031,1.686,1.636,1.08,1.05,0.008,57.62,55.89,0.02,0.02,6.46,6.17,164.84,34.17,0.64,21.88,53.36,134.93,130.87,117.33,87.86,141.32,53.41,26.81,0.87,0.97,0.9,0.65,0.67,0.75,,1,0.97,0.87,0.65,1.05,0.4,0.2,0,-4.05,-13.54,-29.47,53.46,-87.92,-26.59
Lac Matissard,21.4379085,42.48033318,1.694901961,,4.03,1.694901961,1.p18r26d260y2013,,57.51,35.63,2.29,1.42,0.01154,0.015,0.289,0.366,0.49,0.62,0.005,12.28,15.53,0.02,0.025,0.84,1.35,21.44,42.48,1.69,72,25.06,97.47,123.23,169.48,161.19,60.39,17.08,9.71,1.74,1.26,1.38,1.65,1.31,0.95,,1,1.26,1.74,1.65,0.62,0.18,0.1,0,25.76,46.25,-8.29,-100.79,-43.31,-7.37
Lac Matissard,21.4379085,42.48033318,1.694901961,,4.03,1.694901961,12.p19r26d283y2013,,84.21,72.62,3.36,2.9,0.01689,0.02,0.423,0.509,0.72,0.86,0.005,17.98,21.61,0.029,0.034,1.71,1.98,21.44,42.48,1.69,72,25.06,142.73,171.54,219.36,225.62,123.08,74.86,54.52,1.54,1.2,1.28,1.58,1.32,1.03,,1,1.2,1.54,1.58,0.86,0.52,0.38,0,28.81,47.81,6.26,-102.54,-48.22,-20.34
