Name,H,S,V,blank,CDOM,comparison,Date,blank,b1/v,b5/v,b1/s,b5/s,b5/(b2*s),B5/(B1*s),b5/(b2*v),b5/(b1*v),b5/b2,b5/b1,b5/(b2*b1),(b5*s)/(b2*v),(b5*s)/(b1*v),(b5*v)/(b2*s),(b5*v)/(b1*s),B5/(V*S),B1/(V*S),H,s,v,s*v,s/v,B1,B2,B3,b4,b5,B6,B7,b3/b1,b2/b1,b3/b2,b4/b1,b4/b2,b4/b3,,B1.Over.B1,B2.Over.B1,B3.Over.B1,B4.Over.B1,B5.Over.B1,B6.Over.B1,B7.Over.B1,B1MinusB1,B2MinusB1,B3MinusB2,B4MinusB3,B5MinusB4,B6MinusB5,B7MinusB6
Lac de lEsker,92.46153543,48.70367282,1.666786,,0.81,1.666786,2.p19r26d267y2013,,31.87,39.82,1.09,1.36,0.01594,0.026,0.466,0.75,0.78,1.25,0.0146,22.68,36.51,0.027,0.043,0.82,0.65,92.46,48.7,1.67,81.18,29.22,53.12,85.5,166.68,122.76,66.38,27.71,16.57,3.14,1.61,1.95,2.31,1.44,0.74,,1,1.61,3.14,2.31,1.25,0.52,0.31,0,32.38,81.18,-43.92,-56.38,-38.67,-11.13
Lac de lEsker,105.7041869,10.1913635,0.9891071,,0.81,0.9891071,4.p18r26d295y2014,,80.8,37.2,7.84,3.61,0.04064,0.045,0.419,0.465,0.41,0.46,0.0052,4.27,4.74,0.04,0.045,3.65,7.93,105.7,10.19,0.99,10.08,10.3,79.92,88.83,98.91,91.23,36.79,15.98,8.27,1.24,1.11,1.11,1.14,1.03,0.92,,1,1.11,1.24,1.14,0.46,0.2,0.1,0,8.91,10.08,-7.68,-54.44,-20.81,-7.71
Lac de lEsker,15.44581619,50.68366165,1.692156863,,0.81,1.692156863,5.p19r26d270y2014,,98.8,69.71,3.3,2.33,0.01215,0.014,0.364,0.417,0.62,0.71,0.0037,18.44,21.13,0.021,0.024,1.38,1.95,15.45,50.68,1.69,85.76,29.95,167.18,191.62,272.4,191.87,117.96,37.13,18.94,1.63,1.15,1.42,1.15,1,0.7,,1,1.15,1.63,1.15,0.71,0.22,0.11,0,24.44,80.79,-80.54,-73.91,-80.82,-18.2
Lac Garneau,0,0,0,,0.81,0,11.p19r25d270y2014,,NA,NA,NA,NA,NA,NA,NA,NA,0.85,0.87,0.008,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,106.71,109.48,109.69,86.63,93.32,23.44,9.99,1.03,1.03,1,0.81,0.79,0.79,,1,1.03,1.03,0.81,0.87,0.22,0.09,0,2.77,0.21,-23.06,6.7,-69.88,-13.45
Lac Garneau,127.9375524,27.33602516,0.795,,0.81,0.795,3.p19r25d267y2013,,70.98,78.05,2.06,2.27,0.03743,0.04,1.287,1.383,1.02,1.1,0.0181,35.18,37.81,0.03,0.032,2.86,2.6,127.94,27.34,0.8,21.73,34.38,56.43,60.64,79.5,57.77,62.05,21.36,10.88,1.41,1.07,1.31,1.02,0.95,0.73,,1,1.07,1.41,1.02,1.1,0.38,0.19,0,4.21,18.86,-21.73,4.29,-40.7,-10.48
Lac Garneau,0,0,0,,0.81,0,6.p19r25d235y2013,,NA,NA,NA,NA,NA,NA,NA,NA,1.04,1.14,0.0205,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,50.53,55.53,66.55,45.46,57.61,18.41,8.7,1.32,1.1,1.2,0.9,0.82,0.68,,1,1.1,1.32,0.9,1.14,0.36,0.17,0,5,11.03,-21.1,12.15,-39.2,-9.71
Lac Garneau,0,0,0,,0.81,0,7.p18r25d260y2013,,NA,NA,NA,NA,NA,NA,NA,NA,0.77,1.22,0.0238,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,32.41,51.35,53.09,30.26,39.65,19.03,11.56,1.64,1.58,1.03,0.93,0.59,0.57,,1,1.58,1.64,0.93,1.22,0.59,0.36,0,18.94,1.74,-22.83,9.39,-20.63,-7.46
Lac Garneau,0,0,0,,0.81,0,8.p18r25d295y2014,,NA,NA,NA,NA,NA,NA,NA,NA,0.34,0.58,0.0109,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,31.11,53.1,36.53,28.01,17.93,6.77,2.64,1.17,1.71,0.69,0.9,0.53,0.77,,1,1.71,1.17,0.9,0.58,0.22,0.08,0,21.99,-16.57,-8.52,-10.08,-11.16,-4.13
Lac Matis,0,0,0,,1.23,0,11.p19r25d270y2014,,NA,NA,NA,NA,NA,NA,NA,NA,0.7,0.69,0.0052,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,134.1,131.16,130.71,96.74,92.19,24.38,12.93,0.97,0.98,1,0.72,0.74,0.74,,1,0.98,0.97,0.72,0.69,0.18,0.1,0,-2.94,-0.45,-33.97,-4.54,-67.82,-11.45
Lac Matis,149.2688308,30.37891596,0.805614,,1.23,0.805614,3.p19r25d267y2013,,73.78,69.05,1.96,1.83,0.02692,0.031,1.015,1.162,0.82,0.94,0.0138,30.84,35.29,0.022,0.025,2.27,2.43,149.27,30.38,0.81,24.47,37.71,59.44,68.03,80.56,56.09,55.63,19.23,7.83,1.36,1.14,1.18,0.94,0.82,0.7,,1,1.14,1.36,0.94,0.94,0.32,0.13,0,8.59,12.54,-24.47,-0.46,-36.4,-11.39
